Cluster,Precio Promedio (USD),Cantidad de Casas,Desviación Estándar
0,592138.8397677338,12744,362143.83024818386
1,652506.74750348,16523,387064.1861959472
2,2647320.13609232,2513,867905.9569163304
3,2346309.522348485,2640,855379.0181028675
